,XLB,XLE,XLC,XLF,USDOLLAR
2001-10-18 20:00:00,0.0,0.0,0.0,0.9999915054488394,8.494551160629528e-06
2001-10-21 20:00:00,0.0,0.0,0.0,0.9999913643641439,8.635635856054404e-06
2001-10-22 20:00:00,0.0,0.0,0.0,0.9999915675588658,8.432441134330704e-06
2001-10-23 20:00:00,0.0,0.0,0.0,0.9999915864921375,8.413507862509609e-06
2001-10-24 20:00:00,0.0,0.0,0.0,0.9999915547097913,8.445290208682812e-06
2001-10-25 20:00:00,0.0,0.0,0.0,0.9999916639419346,8.336058065390266e-06
2001-10-28 19:00:00,0.0,0.0,0.0,0.9999917574337981,8.24256620197611e-06
2001-10-29 19:00:00,0.0,0.0,0.0,0.9999914545231852,8.545476814830627e-06
2001-10-30 19:00:00,0.0,0.0,0.0,0.9999914357568351,8.56424316493159e-06
2001-10-31 19:00:00,0.0,0.0,0.0,0.9999913569464769,8.643053523000092e-06
2001-11-01 19:00:00,0.0,0.0,0.0,0.9999914953946504,8.504605349664362e-06
2001-11-04 19:00:00,0.0,0.0,0.0,0.9999915385237724,8.461476227587739e-06
2001-11-05 19:00:00,0.0,0.0,0.0,0.9999917170932024,8.282906797572955e-06
2001-11-06 19:00:00,0.0,0.0,0.0,0.999991815668695,8.184331304961135e-06
2001-11-07 19:00:00,0.0,0.0,0.0,0.9999918460869331,8.153913066849416e-06
2001-11-08 19:00:00,0.0,0.0,0.0,0.9999918699910246,8.130008975396015e-06
2001-11-11 19:00:00,0.0,0.0,0.0,0.9999918149553115,8.185044688454672e-06
2001-11-12 19:00:00,0.0,0.0,0.0,0.9999917752844661,8.224715533808839e-06
2001-11-13 19:00:00,0.0,0.0,0.0,0.9999919898723235,8.010127676408118e-06
2001-11-14 19:00:00,0.0,0.0,0.0,0.9999919733361328,8.026663867326777e-06
2001-11-15 19:00:00,0.0,0.0,0.0,0.9999919228115209,8.077188478990003e-06
2001-11-18 19:00:00,0.0,0.0,0.0,0.9999918810601636,8.118939836437234e-06
2001-11-19 19:00:00,0.0,0.0,0.0,0.9999920423022823,7.957697717674618e-06
2001-11-20 19:00:00,0.0,0.0,0.0,0.9999919956921661,8.004307833808813e-06
2001-11-22 19:00:00,0.0,0.0,0.0,0.9999919238753119,8.076124688146335e-06
2001-11-25 19:00:00,0.0,0.0,0.0,0.9999920445158917,7.955484108353098e-06
2001-11-26 19:00:00,0.0,0.0,0.0,0.9999920850678455,7.914932154449164e-06
2001-11-27 19:00:00,0.0,0.0,0.0,0.9999921016001387,7.898399861185195e-06
2001-11-28 19:00:00,0.0,0.0,0.0,0.9999918563489008,8.143651099260527e-06
2001-11-29 19:00:00,0.0,0.0,0.0,0.9999919421614665,8.057838533627469e-06
2001-12-02 19:00:00,0.0,0.0,0.0,0.9999918569030258,8.143096974135944e-06
2001-12-03 19:00:00,0.0,0.0,0.0,0.9999917408541202,8.259145879765992e-06
2001-12-04 19:00:00,0.0,0.0,0.0,0.9999918511771395,8.148822860461817e-06
2001-12-05 19:00:00,0.0,0.0,0.0,0.999991961605917,8.038394083069749e-06
2001-12-06 19:00:00,0.0,0.0,0.0,0.9999920630932343,7.936906765732826e-06
2001-12-09 19:00:00,0.0,0.0,0.0,0.9999920077522554,7.992247744613928e-06
2001-12-10 19:00:00,0.0,0.0,0.0,0.9999918773594556,8.12264054438872e-06
2001-12-11 19:00:00,0.0,0.0,0.0,0.999991922668063,8.077331936977358e-06
2001-12-12 19:00:00,0.0,0.0,0.0,0.9999918903734294,8.109626570609727e-06
2001-12-13 19:00:00,0.0,0.0,0.0,0.9999917593866386,8.240613361410804e-06
2001-12-16 19:00:00,0.0,0.0,0.0,0.9999917128337746,8.287166225382961e-06
2001-12-17 19:00:00,0.0,0.0,0.0,0.9999918237387321,8.176261267975237e-06
2001-12-18 19:00:00,0.0,0.0,0.0,0.9999918976650637,8.102334936297355e-06
2001-12-19 19:00:00,0.0,0.0,0.0,0.9999920517476846,7.948252315466923e-06
2001-12-20 19:00:00,0.0,0.0,0.0,0.9999920174753528,7.982524647189485e-06
2001-12-23 19:00:00,0.0,0.0,0.0,0.9999919598151785,8.040184821474303e-06
2001-12-25 19:00:00,0.0,0.0,0.0,0.9999919523952489,8.047604751124204e-06
2001-12-26 19:00:00,0.0,0.0,0.0,0.9999919878527158,8.012147284102824e-06
2001-12-27 19:00:00,0.0,0.0,0.0,0.999991980479094,8.019520906006547e-06
2001-12-30 19:00:00,0.0,0.0,0.0,0.9999920637988439,7.936201156137222e-06
2002-01-01 19:00:00,0.0,0.0,0.0,0.999991987086683,8.01291331689464e-06
2002-01-02 19:00:00,0.0,0.0,0.0,0.999991976659699,8.023340301034941e-06
2002-01-03 19:00:00,0.0,0.0,0.0,0.9999920299974022,7.970002597783586e-06
2002-01-06 19:00:00,0.0,0.0,0.0,0.9999921328344116,7.867165588438028e-06
2002-01-07 19:00:00,0.0,0.0,0.0,0.9999921109817398,7.889018260194843e-06
2002-01-08 19:00:00,0.0,0.0,0.0,0.9999919989810937,8.001018906192746e-06
2002-01-09 19:00:00,0.0,0.0,0.0,0.999992039984941,7.960015058950953e-06
2002-01-10 19:00:00,0.0,0.0,0.0,0.9999920085610453,7.991438954583038e-06
2002-01-13 19:00:00,0.0,0.0,0.0,0.9999919616273186,8.038372681313954e-06
2002-01-14 19:00:00,0.0,0.0,0.0,0.9999918986218539,8.101378146153282e-06
2002-01-15 19:00:00,0.0,0.0,0.0,0.9999920708326187,7.929167381392814e-06
2002-01-16 19:00:00,0.0,0.0,0.0,0.9999919700297056,8.029970294397074e-06
2002-01-17 19:00:00,0.0,0.0,0.0,0.999992044410957,7.955589043017594e-06
2002-01-21 19:00:00,0.0,0.0,0.0,0.9999920130518473,7.986948152761687e-06
2002-01-22 19:00:00,0.0,0.0,0.0,0.9999919845000232,8.015499976713832e-06
2002-01-23 19:00:00,0.0,0.0,0.0,0.9999920195734793,7.980426520687272e-06
